NaN,NaN,NaN,21,75,33,28,NaN,NaN,5,10,9,60,60,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,85,28,60,30,85,15,18,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN,38,27,85,28,60,30,85,15,18,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,40,30,85,33,55,40,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,40,30,85,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,88,40,35,85,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,5,5,50,45,20,30,NaN,NaN,30,35,20,NaN,NaN,35,50,35,40,40,40,40,30,20,30,20,20,15,15,NaN,33,75,74,30,55,40,50,28,32,28,3,37,29,22,31,21,50,22,29,30,22,20,32,23,30,18,20,15,15,14,19,30,80,60,60,40,63,27,28,21,45,35,28,22,30,24,50,20,29,25,25,20,39,25,20,18,59,72
15,16,33,21,64,30,47,30,55,28,32,28,44,37,33,22,31,27,20,22,29,30,22,20,NaN,NaN,NaN,NaN,NaN,NaN,21,14,19,30,54,31,47,32,45,27,27,21,45,34,32,21,30,24,18,20,29,25,24,23,NaN,NaN,NaN,NaN,NaN,NaN,18,16,18,33,78,31,49,27,45,20,26,24,43,37,32,29,32,25,19,20,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,70,NaN,12,25,NaN,35,NaN,66,66,66,20,30,33,24,25,24,18,NaN,NaN,21,22,33,28,69,25,38,74,35,60,35,70,30,60,60,80,32,24,50,50,65,22,30,33,25,25,26,75,75,19,25,25,33,28,71,25,41,60,35,60,35,71,26,61,60,78,30,23,50,50,66,22,30,33,24,25,26,75,77,20,26,27,38,29,72,25,42,60,35
NaN,NaN,NaN,31,67,75,72,48,27,45,49,64,37,39,40,41,36,48,75,75,35,39,42,51,40,76,38,43,55,35,55,45,65,31,67,75,72,45,26,45,49,64,36,38,37,41,36,48,75,77,30,38,42,50,40,76,38,43,55,35,55,40,65,31,67,75,72,45,26,47,49,64,36,33,37,41,36,46,75,77,30,38,42,50,37,76,37,43,55,35
60,13,70,5,35,65,85,52,23,46,59,80,15,17,19,14,19,26,80,79,19,32,21,36,35,85,21,72,75,46,20,10,73,7,50,70,79,32,29,49,61,75,17,21,21,16,21,27,82,78,21,34,24,38,34,82,22,69,75,44,35,15,75,15,63,72,82,36,32,47,59,74,25,24,23,18,22,30,82,82,21,34,26,38,33,82,22,69,75,45
NaN,NaN,NaN,NaN,20,40,NaN,65,NaN,NaN,NaN,NaN,15,NaN,15,NaN,NaN,30,20,NaN,NaN,NaN,25,25,NaN,NaN,15,NaN,NaN,15,NaN,NaN,80,NaN,10,50,35,NaN,35,NaN,20,70,50,NaN,50,NaN,NaN,40,NaN,NaN,25,NaN,45,45,NaN,NaN,20,NaN,25,60,20,20,70,NaN,10,50,35,NaN,35,NaN,20,65,55,NaN,55,NaN,NaN,40,NaN,NaN,25,NaN,45,45,NaN,NaN,20,NaN,25,60
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,60,NaN,10,40,NaN,35,NaN,NaN,NaN,NaN,33,30,35,26,30,40,20,NaN,NaN,32,32,32,28,75,28,NaN,NaN,16,60,13,70,25,65,70,80,30,20,55,46,76,30,30,50,30,40,40,75,80,25,30,30,35,30,74,30,55,58,40,60,13,70,26,70,70,75,30,18,50,45,70,36,25,40,32,35,42,70,70,30,32,32,42,31,75,31,54,60,42
45,55,80,85,18,72,69,65,45,25,35,40,18,22,29,20,30,50,75,50,39,45,48,38,79,29,10,24,29,35,65,80,32,79,17,61,70,63,43,18,34,39,21,25,28,21,29,49,73,45,32,44,49,35,78,27,25,22,30,34,83,75,29,80,20,59,70,62,45,19,35,37,22,26,29,22,28,45,72,44,33,40,48,33,79,25,28,23,29,35
90,90,90,NaN,NaN,NaN,98,98,98,99,99,99,NaN,NaN,NaN,NaN,NaN,NaN,99,99,99,75,99,90,NaN,NaN,NaN,NaN,NaN,NaN,90,90,90,90,90,90,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,NaN,NaN,NaN,NaN,NaN,NaN,99,99,99,90,90,90,96,96,96,NaN,NaN,NaN,99,99,99,NaN,NaN,NaN,99,99,99,99,99,99,NaN,NaN,NaN,99,99,99,99,99,99
33,56,28,80,26,47,67,46,44,NaN,45,26,22,35,37,24,28,45,NaN,NaN,NaN,35,38,33,72,20,32,NaN,45,NaN,45,56,28,80,26,47,67,46,44,24,24,29,22,35,37,24,28,45,67,45,33,35,38,33,72,20,32,25,33,42,45,73,28,80,26,47,67,46,44,24,24,29,22,35,37,24,28,45,67,45,33,35,38,33,72,20,32,25,33,42
3,6,5,77,21,48,42,46,32,20,35,35,20,23,28,18,23,29,54,37,29,46,46,25,52,17,22,13,21,23,46,62,25,75,25,52,49,64,36,18,32,25,22,22,23,18,22,27,59,22,21,30,42,33,44,18,27,13,19,25,40,72,53,55,25,59,48,43,36,19,29,22,21,25,28,19,24,33,45,36,32,40,25,22,31,16,16,14,15,37
70,75,26,70,19,60,NaN,NaN,NaN,NaN,40,20,20,25,25,20,20,21,68,60,30,45,50,45,79,20,40,18,20,35,85,80,28,70,21,60,55,48,50,20,45,22,22,25,25,24,23,30,70,60,35,46,55,46,80,20,40,25,24,38,85,80,28,70,21,61,55,56,50,24,45,25,22,25,26,24,25,40,70,60,35,46,55,46,80,20,40,25,30,38
